"date","plot.nm","treatment","vwc"
2019-04-09,5,"R-",0.0763541666666667
2019-04-09,7,"OC-",0.142604166666667
2019-04-09,8,"V+",0.0822916666666667
2019-04-09,12,"C+",0.159916666666667
2019-04-09,13,"V+",0.130458333333333
2019-04-09,14,"I-",0.191125
2019-04-09,16,"V-",0.100520833333333
2019-04-09,17,"S-",0.148416666666667
2019-04-09,21,"OC-",0.180770833333333
2019-04-09,22,"S-",0.179041666666667
2019-04-09,23,"OC+",0.183625
2019-04-09,27,"C+",0.149041666666667
2019-04-09,30,"R-",0.134416666666667
2019-04-09,32,"I-",0.1671875
2019-04-09,33,"V-",0.1048125
2019-04-09,35,"R+",0.151833333333333
2019-04-09,36,"C+",0.172625
2019-04-09,38,"OC+",0.168583333333333
2019-04-09,39,"C-",0.166458333333333
2019-04-09,41,"R+",0.151458333333333
2019-04-09,42,"OC+",0.162916666666667
2019-04-09,45,"S-",0.172229166666667
2019-04-09,47,"V-",0.108791666666667
2019-04-09,48,"I-",0.184729166666667
2019-04-09,53,"C-",0.182895833333333
2019-04-09,54,"V+",0.13075
2019-04-09,56,"R-",0.1619375
2019-04-09,58,"OC-",0.15
2019-04-10,2,"C-",0.159916666666667
2019-04-10,4,"R+",0.10275
2019-04-10,5,"R-",0.0703958333333333
2019-04-10,7,"OC-",0.131916666666667
2019-04-10,8,"V+",0.0770416666666667
2019-04-10,12,"C+",0.150416666666667
2019-04-10,13,"V+",0.126125
2019-04-10,14,"I-",0.180979166666667
2019-04-10,16,"V-",0.0963333333333333
2019-04-10,17,"S-",0.138208333333333
2019-04-10,21,"OC-",0.171708333333333
2019-04-10,22,"S-",0.170208333333333
2019-04-10,23,"OC+",0.174291666666667
2019-04-10,27,"C+",0.137791666666667
2019-04-10,30,"R-",0.124083333333333
2019-04-10,32,"I-",0.158729166666667
2019-04-10,33,"V-",0.101229166666667
2019-04-10,35,"R+",0.144083333333333
2019-04-10,36,"C+",0.164333333333333
2019-04-10,38,"OC+",0.158708333333333
2019-04-10,39,"C-",0.156520833333333
2019-04-10,41,"R+",0.142791666666667
2019-04-10,42,"OC+",0.157333333333333
2019-04-10,45,"S-",0.163229166666667
2019-04-10,47,"V-",0.104729166666667
2019-04-10,48,"I-",0.176479166666667
2019-04-10,53,"C-",0.176625
2019-04-10,54,"V+",0.128041666666667
2019-04-10,56,"R-",0.1553125
2019-04-10,58,"OC-",0.142375
2019-04-11,2,"C-",0.153770833333333
2019-04-11,4,"R+",0.0965
2019-04-11,5,"R-",0.0671458333333333
2019-04-11,7,"OC-",0.124958333333333
2019-04-11,8,"V+",0.183
2019-04-11,12,"C+",0.145083333333333
2019-04-11,13,"V+",0.219333333333333
2019-04-11,14,"I-",0.173666666666667
2019-04-11,16,"V-",0.191506944444444
2019-04-11,17,"S-",0.131208333333333
2019-04-11,21,"OC-",0.166083333333333
2019-04-11,22,"S-",0.164416666666667
2019-04-11,23,"OC+",0.168541666666667
2019-04-11,27,"C+",0.130458333333333
2019-04-11,30,"R-",0.117145833333333
2019-04-11,32,"I-",0.1529375
2019-04-11,33,"V-",0.1719375
2019-04-11,35,"R+",0.138625
2019-04-11,36,"C+",0.158583333333333
2019-04-11,38,"OC+",0.152416666666667
2019-04-11,39,"C-",0.1498125
2019-04-11,41,"R+",0.136333333333333
2019-04-11,42,"OC+",0.153416666666667
2019-04-11,45,"S-",0.1573125
2019-04-11,47,"V-",0.1723125
2019-04-11,48,"I-",0.170625
2019-04-11,53,"C-",0.172145833333333
2019-04-11,54,"V+",0.187041666666667
2019-04-11,56,"R-",0.150354166666667
2019-04-11,58,"OC-",0.137270833333333
2019-04-12,2,"C-",0.1493125
2019-04-12,4,"R+",0.0915416666666667
2019-04-12,5,"R-",0.0654375
2019-04-12,7,"OC-",0.119395833333333
2019-04-12,8,"V+",0.222208333333333
2019-04-12,12,"C+",0.140666666666667
2019-04-12,13,"V+",0.228625
2019-04-12,14,"I-",0.168333333333333
2019-04-12,16,"V-",0.206125
2019-04-12,17,"S-",0.125395833333333
2019-04-12,21,"OC-",0.1623125
2019-04-12,22,"S-",0.160520833333333
2019-04-12,23,"OC+",0.164041666666667
2019-04-12,27,"C+",0.124583333333333
2019-04-12,30,"R-",0.111708333333333
2019-04-12,32,"I-",0.148875
2019-04-12,33,"V-",0.1933125
2019-04-12,35,"R+",0.135
2019-04-12,36,"C+",0.154666666666667
2019-04-12,38,"OC+",0.147166666666667
2019-04-12,39,"C-",0.145083333333333
2019-04-12,41,"R+",0.131333333333333
2019-04-12,42,"OC+",0.1505
2019-04-12,45,"S-",0.153270833333333
2019-04-12,47,"V-",0.198833333333333
